main_category,tt_selling_price,items_sold,tt_products,avg_selling_price,avg_products_sold,avg_revenue,20%_profit
Phones,1679547,10907,286,5872,38,223136,44627.200000000004
"TVs, Audio and Video",861944,6913,191,4512,36,162432,32486.4
Appliances,260618,4282,97,2686,44,118184,23636.800000000003
Tablets & Accessories,20068,157,6,3344,26,86944,17388.8
Computing,224813,6684,160,1405,41,57605,11521.0
Games & Consoles,8377,60,3,2792,20,55840,11168.0
Food cupboard,227382,60340,547,415,110,45650,9130.0
Unisex's accessories,14720,688,15,981,45,44145,8829.0
Laundry,17768,6546,54,329,121,39809,7961.8
Home,319151,6869,236,1352,29,39208,7841.6
Automotive & Motorcycles,11296,402,11,1026,36,36936,7387.200000000001
Men's clothing,67276,3705,85,791,43,34013,6802.6
Cameras & Accessories,22456,344,16,1403,21,29463,5892.6
Women's clothing,34422,3173,62,555,51,28305,5661.0
Adulte,4930,91,4,1232,22,27104,5420.8
Men's shoes,61153,1721,63,970,27,26190,5238.0
Tobacco,3164,128,4,791,32,25312,5062.400000000001
Beauty & perfumes,360684,26598,630,572,42,24024,4804.8
Women's accessories,92794,6192,156,594,39,23166,4633.2
Men's accessories,46352,3930,93,498,42,20916,4183.2
Sport & Fitness,12347,372,15,823,24,19752,3950.4
Kids and Baby,25972,1066,37,701,28,19628,3925.6000000000004
Women's shoes,21869,1276,41,533,31,16523,3304.6000000000004
Boys,5202,176,8,650,22,14300,2860.0
Household care,49333,7739,165,298,46,13708,2741.6000000000004
Fashion,2000,109,4,500,27,13500,2700.0
Books & Stationery,2450,47,3,816,15,12240,2448.0
Beverages,2193,89,4,548,22,12056,2411.2000000000003
Girls,279,17,1,279,17,4743,948.6
Musical Instruments,419,35,2,209,17,3553,710.6
