country,sku_config,product_name,main_category,sec_category,brand,selling_price,items_sold,product_link,ranking
KE,PE754OT12DQDYNAFAMZ,Maize Meal – 2Kg,Food cupboard,Cooking & Baking,Pembe,119,3039,https://www.jumia.co.KE/43166446.html?seller_product=1,1
KE,SO771FF0MD80YNAFAMZ,Maize Meal - 2Kg,Food cupboard,Cooking & Baking,Soko,118,2752,https://www.jumia.co.KE/28486573.html?seller_product=1,2
KE,ME104CP1N6B80NAFAMZ,Cream Bar Soap - 1kg,Laundry,Detergent Pacs & Tablets,Menengai,160,2552,https://www.jumia.co.KE/42819399.html?seller_product=1,1
KE,SO771FF0MD80YNAFAMZ,Maize Meal - 2Kg,Food cupboard,Cooking & Baking,Soko,116,2062,https://www.jumia.co.KE/28486573.html?seller_product=1,3
KE,PE754FF0395P2NAFAMZ,All Purpose Home Baking Flour - 2Kg,Food cupboard,Cooking & Baking,Pembe,143,1945,https://www.jumia.co.KE/43166450.html?seller_product=1,4
KE,KA729OT1L91HANAFAMZ,Premium White Sugar – 2kg,Food cupboard,Cooking & Baking,Kabras,246,1887,https://www.jumia.co.KE/43995169.html?seller_product=1,5
KE,DA410DB0RJ1F2NAFAMZ,Fino Milk 500ml – Pack of 12,Food cupboard,Cooking & Baking,DAIMA,545,1708,https://www.jumia.co.KE/43973264.html?seller_product=1,6
KE,KA729OT1L91HANAFAMZ,Premium White Sugar – 2kg,Food cupboard,Cooking & Baking,Kabras,250,1617,https://www.jumia.co.KE/43995169.html?seller_product=1,7
KE,PE754OT12DQDYNAFAMZ,Maize Meal – 2Kg,Food cupboard,Cooking & Baking,Pembe,122,1261,https://www.jumia.co.KE/43166446.html?seller_product=1,8
KE,KC223DB10EOCSNAFAMZ,Gold Crown Long Life Milk 500ml fino - Pack of 12,Food cupboard,Cooking & Baking,KCC,590,1229,https://www.jumia.co.KE/42905116.html?seller_product=1,9
KE,DO713FF0EJH6INAFAMZ,All Purpose Home Baking Flour - 2Kg,Food cupboard,Cooking & Baking,Dola,139,1208,https://www.jumia.co.KE/45332442.html?seller_product=1,10
KE,KA729OT1FAPFINAFAMZ,Premium White Sugar – 1kg,Food cupboard,Cooking & Baking,Kabras,132,1031,https://www.jumia.co.KE/43995168.html?seller_product=1,11
KE,KA729OT1FAPFINAFAMZ,Premium White Sugar – 1kg,Food cupboard,Cooking & Baking,Kabras,125,1009,https://www.jumia.co.KE/43995168.html?seller_product=1,12
KE,PE754FF0395P2NAFAMZ,All Purpose Home Baking Flour - 2Kg,Food cupboard,Cooking & Baking,Pembe,146,936,https://www.jumia.co.KE/43166450.html?seller_product=1,13
KE,EX715FF17SVBYNAFAMZ,All-Purpose Fortified Wheat Flour 2Kg {2pcs},Food cupboard,Cooking & Baking,Exe,254,702,https://www.jumia.co.KE/26407537.html?seller_product=1,14
KE,JO728OT0IBUCINAFAMZ,Maize Meal - 2Kg,Food cupboard,Cooking & Baking,Jogoo,112,629,https://www.jumia.co.KE/43658703.html?seller_product=1,15
KE,DR647ST1CHVZQNAFAMZ,Vitamin C Brightening & Anti-Aging Face Serum -50ml.,Beauty & perfumes,Facial skincare,Dr. Rashel,280,627,https://www.jumia.co.KE/28165418.html?seller_product=1,1
KE,BR364FF0PD935NAFAMZ,All Purpose Home Baking Wheat Flour,Food cupboard,Cooking & Baking,Golden,131,613,https://www.jumia.co.KE/50780624.html?seller_product=1,16
KE,EX715OT15HLS2NAFAMZ,All Purpose Flour 2Kg,Food cupboard,Cooking & Baking,Exe,138,610,https://www.jumia.co.KE/43658696.html?seller_product=1,17
KE,SO771OT1F18ERNAFAMZ,Home Baking Flour 2kg Soko,Food cupboard,Cooking & Baking,Soko,137,606,https://www.jumia.co.KE/17971758.html?seller_product=1,18
KE,FA113MW07ZQ4MNAFAMZ,4Pairs Finest Cotton Freesize Unisex Plain Invisible Socks,Men's accessories,Socks,Fashion,158,587,https://www.jumia.co.KE/43142431.html?seller_product=1,1
KE,NU749OT117F8MNAFAMZ,Packed Sugar – 1Kg,Food cupboard,Cooking & Baking,Nutrameal,128,587,https://www.jumia.co.KE/43129426.html?seller_product=1,19
KE,EX715OT15HLS2NAFAMZ,All Purpose Flour 2Kg,Food cupboard,Cooking & Baking,Exe,145,579,https://www.jumia.co.KE/43658696.html?seller_product=1,20
KE,DA410DB0QXLTANAFAMZ,Fino Milk – 500ml,Food cupboard,Cooking & Baking,DAIMA,47,559,https://www.jumia.co.KE/43973254.html?seller_product=1,21
KE,TO509OT0MAIDHNAFAMZ,Sensitive Detergent Powder Plastic Container - 1kg,Household care,House Hold Sundries,Toss,188,545,https://www.jumia.co.KE/52914473.html?seller_product=1,1
KE,NU749OT0V936UNAFAMZ,Packed Sugar – 2Kg,Food cupboard,Cooking & Baking,Nutrameal,253,523,https://www.jumia.co.KE/43129425.html?seller_product=1,22
KE,EX715OT1BFXTUNAFAMZ,Mandazi 2Kg,Food cupboard,Cooking & Baking,Exe,149,512,https://www.jumia.co.KE/43658697.html?seller_product=1,23
KE,TO971FF0I3UOONAFAMZ,Vegetable Oil - 2ltr,Food cupboard,Cooking & Baking,Top Fry,535,492,https://www.jumia.co.KE/42821403.html?seller_product=1,24
KE,TO498FF1CJPH9NAFAMZ,Poa Toilet Paper White 10 Pack Unwrapped,Household care,House Hold Sundries,Toilex,124,476,https://www.jumia.co.KE/35014518.html?seller_product=1,2
KE,JO728OT0IBUCINAFAMZ,Maize Meal - 2Kg,Food cupboard,Cooking & Baking,Jogoo,110,474,https://www.jumia.co.KE/43658703.html?seller_product=1,25
